Product Id,Product Name,Product Varies? Yes/No,Parent Product,Variant Name,Variant ID,SKU,Inventory ID,Barcode,Taxonomy,On Hand Quantity,Sales Channels
1998436,Bulk 2.5lb Bag Vanilla Bean 10.00% Off Auto renew,No,,,,bulk-2-5lb-bag-vanilla-bean-10-00-off-auto-renew,16018857,,,0,Shopify
1998435,Single Serve 10-Pack Vanilla Bean 10.00% Off Auto renew,No,,,,single-serve-10-pack-vanilla-bean-10-00-off-auto-r-3f93271f3a24cef-1,16018858,,,0,Shopify
1998434,Single Serve Sachet (1 ct) Vanilla Bean 10.00% Off Auto renew,No,,,,single-serve-sachet-1-ct-vanilla-bean-10-00-off-au-e0abcdd16da88d2-1,16018859,,,0,Shopify
1998433,Large bag Vanilla Bean 10.00% Off Auto renew,No,,,,large-bag-vanilla-bean-10-00-off-auto-renew-1-2-3--6aeae088f5261b4-5,16018860,,,0,Shopify
1998432,Bulk 2.5lb Bag Salted Caramel 10.00% Off Auto renew,No,,,,bulk-2-5lb-bag-salted-caramel-10-00-off-auto-renew,16018861,,,0,Shopify
1998431,Sachet 10-Pack Salted Caramel 10.00% Off Auto renew,No,,,,sachet-10-pack-salted-caramel-10-00-off-auto-renew-1,16018862,,,0,Shopify
1998430,Single Serve Sachet (1 ct) Salted Caramel 10.00% Off Auto renew,No,,,,single-serve-sachet-1-ct-salted-caramel-10-00-off--c864c887041c566-1,16018863,,,0,Shopify
1998429,Large bag Salted Caramel 10.00% Off Auto renew,No,,,,large-bag-salted-caramel-10-00-off-auto-renew-1-2--e9a07dc44cf384d-5,16018864,,,0,Shopify
1998428,Bulk 2.5lb Bag Salted Caramel 10.00% Off Auto renew,No,,,,bulk-2-5lb-bag-salted-caramel-10-00-off-auto-renew-1,16018865,,,0,Shopify
1998427,Sachet 10-Pack Salted Caramel 10.00% Off Auto renew,No,,,,sachet-10-pack-salted-caramel-10-00-off-auto-renew-cf4bf3c86527d4f-2,16018866,,,0,Shopify
1998426,Single Serve Sachet (1 ct) Salted Caramel 10.00% Off Auto renew,No,,,,single-serve-sachet-1-ct-salted-caramel-10-00-off--d148a368890d062-2,16018867,,,0,Shopify
1998425,Large bag Salted Caramel 10.00% Off Auto renew,No,,,,large-bag-salted-caramel-10-00-off-auto-renew-1-2--358264459878934-6,16018868,,,0,Shopify
1998421,Single Serve 10-Pack Butter Pecan 10.00% Off Auto renew,No,,,,single-serve-10-pack-butter-pecan-10-00-off-auto-r-383a07ada81c35b-3,16837622,,,0,Shopify
1998419,Individual Serving Size Sachet Birthday Cake 10.00% Off Auto renew,No,,,,911,16837624,,,0,Shopify
1998418,Sachet 10-pack Birthday Cake 10.00% Off Auto renew,No,,,,sachet-10-pack-birthday-cake-10-00-off-auto-renew-1,16837625,,,0,Shopify
1998417,Large bag Butter Pecan (Vegan Oat Creamer) 10.00% Off Auto renew,No,,,,large-bag-butter-pecan-vegan-oat-creamer-10-00-off-2d9616a81e3aaf3-1,16837627,,,0,Shopify
1998415,Sachet 10-Pack Salted Caramel 10.00% Off Auto renew,No,,,,sachet-10-pack-salted-caramel-10-00-off-auto-renew-40f6d9977fa84de-3,16837630,,,0,Shopify
1998413,Individual Serving Size Sachet Original 10.00% Off Auto renew,No,,,,96,16837632,,,0,Shopify
1998412,Single Serve 10-Pack Original 10.00% Off Auto renew,No,,,,40503197728846,16837633,,,0,Shopify
1998411,Individual Serving Size Sachet French Vanilla 10.00% Off Auto renew,No,,,,individual-serving-size-sachet-french-vanilla-10-0-a3e1a21523d1d45,16837635,,,0,Shopify
1998409,Single Serve 10-Pack French Vanilla 10.00% Off Auto renew,No,,,,single-serve-10-pack-french-vanilla-10-00-off-auto-5d9daaf86a7ef11,16837637,,,0,Shopify
1998407,Individual Serving Size Sachet Vanilla Bean 10.00% Off Auto renew,No,,,,individual-serving-size-sachet-vanilla-bean-10-00--e40834ac6e5a107,16837639,,,0,Shopify
1998406,Bulk 2.5lb Bag Vanilla Bean 10.00% Off Auto renew,No,,,,bulk-2-5lb-bag-vanilla-bean-10-00-off-auto-renew-1,16837640,,,0,Shopify
1998405,Single Serve 10-Pack Vanilla Bean 10.00% Off Auto renew,No,,,,single-serve-10-pack-vanilla-bean-10-00-off-auto-r-f43b73ea1de422c-2,16837641,,,0,Shopify
1998402,Route Package Protection - $0.98,No,,,,route-package-protection-0-98,17135705,,,0,Shopify
1998401,Route Package Protection - $1.55,No,,,,route-package-protection-1-55,17140541,,,0,Shopify
3296837,Single Serve 10-Pack White Chocolate Mocha,No,,,,113,18105709,,,0,Shopify
3296770,Individual Serving Size Sachet Coconut Caramel Truffle,No,,,,90,18105783,,,0,Shopify
4561472,Sachet 10-Pack Blueberry Pancakes,No,,,,923,18926277,,,0,Shopify
5399645,Individual Serving Sachet Size Peppermint Mocha,No,,,,99,19238499,,,0,Shopify
6779564,$10.00 USD Gift Card,No,,,,29420899926059,19413371,,,0,Shopify
6977413,Large Gingerbread Cookie Gift *Limited Edition*,No,,,,124,19457800,,,0,Shopify
